0,    0,    0, 5000
1,    0,  100, 5000
2,    0,  200, 5000
3,    0,  300, 5000
4,    0,  400, 5000
5,    0,  500, 5000
6,    0,  600, 5000
7,    0,  700, 5000
8,    0,  800, 5000
9,    0,  900, 5000
10,   0, 1000, 5000
11,   0, 1100, 5000
12,   0, 1200, 5000
13,   0, 1300, 5000
14,   0, 1400, 5000
15,   0, 1500, 5000
16,   0, 1600, 5000
17,   0, 1700, 5000
18,   0, 1800, 5000
19, 100,    0, 5000
20, 100,  100, 5000
21, 51337,  -23399, 595
22, 50102,  -23479, 552
23, 50027,  -23516, 551
24, 49742,  -23820, 525
25, 49406,  -24037, 539
26, 50232,  -24217, 615
27, 50269,  -24177, 614
28, 50534,  -23720, 584
29, 50526, -23765, 584
30, 49837, -24632, 602
31, 50216, -24248, 714
32, 51174, -23937, 659
33, 51196, -23879, 657
34, 50605, -22999, 535
35, 50671, -23322, 650
36, 505070, -23357, 531
37, 50614, -23401, 538
38, 50979, -24211, 787
39, 50943,    -24168, 784
40, 50245,  -24863, 653
41, 50248,  -24801, 647
42, 50639,  -24148, 612
43, 200,  400, 5000
44, 200,  500, 5000
45, 200,  600, 5000
46, 200,  700, 5000
47, 200,  800, 5000
48, 200,  900, 5000
49, 200, 1000, 5000
50, 200, 1100, 5000
51, 200, 1200, 5000
52, 200, 1300, 5000
53, 200, 1400, 5000
54, 200, 1500, 5000
55, 200, 1600, 5000
56, 200, 1700, 5000
57, 200, 1800, 5000
