Rabbit,0,8,-5150,-74812,1080,0,0,0,0,60,1.117734,
Rabbit,0,8,-70610,-11524,1456,0,0,0,0,60,0.885293,
Rabbit,0,8,-56450,-65863,3556,0,0,0,0,60,1.193787,
Rabbit,0,8,-93171,-20085,824,0,0,0,0,60,1.088302,
Rabbit,0,8,-62855,-32541,2403,0,0,0,0,60,0.835768,
Rabbit,0,8,-86690,-88680,3632,0,0,0,0,60,0.942766,
Rabbit,0,8,-44560,-61996,2238,0,0,0,0,60,0.920695,
Rabbit,0,8,-48212,-66374,2524,0,0,0,0,60,1.0498,
Rabbit,0,8,-84890,-34756,4360,0,0,0,0,60,1.148192,
Rabbit,0,8,-90867,-52875,4693,0,0,0,0,60,1.055525,
Rabbit,0,8,-71954,-16212,1411,0,0,0,0,60,1.045161,
Rabbit,0,8,-84733,-56687,4747,0,0,0,0,60,0.98919,
Rabbit,0,8,-91141,-13195,974,0,0,0,0,60,1.114853,
Rabbit,0,8,-100481,-42902,2107,0,0,0,0,60,1.055281,
Rabbit,0,8,-71428,-85278,5312,0,0,0,0,60,0.925272,
Rabbit,0,8,-46781,-69647,4200,0,0,0,0,60,1.067818,
Rabbit,0,8,-71524,-75077,7741,0,0,0,0,60,1.030903,
Rabbit,0,8,-100551,-60735,4589,0,0,0,0,60,1.029975,
Rabbit,0,8,-89172,-67654,3014,0,0,0,0,60,1.097201,
Rabbit,0,8,-32354,-67512,1767,0,0,0,0,60,1.104575,
Rabbit,0,8,-66082,-33532,1731,0,0,0,0,60,0.875796,
Rabbit,0,8,-42324,-65159,2848,0,0,0,0,60,1.151232,
Rabbit,0,8,-8851,-81322,2684,0,0,0,0,60,0.898843,
Rabbit,0,8,-67663,-75594,4522,0,0,0,0,60,0.961089,
Rabbit,0,8,-52845,-82894,5462,0,0,0,0,60,1.119834,
Rabbit,0,8,-643,-94537,4916,0,0,0,0,60,0.906803,
Rabbit,0,8,-66648,-29668,1484,0,0,0,0,60,0.998029,
Rabbit,0,8,-30831,-72065,1622,0,0,0,0,60,0.973553,
Rabbit,0,8,-99696,-86880,4319,0,0,0,0,60,1.110996,
Rabbit,0,8,-80273,-98456,4819,0,0,0,0,60,1.047627,
Goat,4,80,-89034,-57121,3367,0,0,0,0,90,1.111716,
Goat,4,80,-51682,-50227,677,0,0,0,0,90,1.062423,
Goat,4,80,-98060,-36399,2932,0,0,0,0,90,0.963274,
Goat,4,80,-56219,-5089,1599,0,0,0,0,90,0.927702,
Goat,4,80,-98527,-62652,6662,0,0,0,0,90,0.8772,
Goat,4,80,-100093,-54893,1960,0,0,0,0,90,1.056087,
Goat,4,80,-2449,-79891,1297,0,0,0,0,90,0.992816,
Goat,4,80,-82321,-97546,5549,0,0,0,0,90,1.02989,
Goat,4,80,-91150,-8248,2880,0,0,0,0,90,1.017011,
Goat,4,80,-80962,-95223,3992,0,0,0,0,90,0.92122,
Goat,4,80,-76055,-64633,5345,0,0,0,0,90,0.922037,
Chicken,5,8,-67921,-93476,4189,0,0,0,0,30,1.055684,
Chicken,5,8,-79460,-92095,3433,0,0,0,0,30,0.832142,
Chicken,5,8,-91098,-97352,4997,0,0,0,0,30,1.197913,
Chicken,5,8,-77775,-83047,5269,0,0,0,0,30,0.824354,
Chicken,5,8,-67085,-63695,3665,0,0,0,0,30,1.161376,
Chicken,5,8,-74585,-97503,3982,0,0,0,0,30,1.073251,
Chicken,5,8,-4852,-98355,4453,0,0,0,0,30,1.019636,
Chicken,5,8,-56508,-32766,2852,0,0,0,0,30,0.822437,
